 Time  bebop1_x  bebop1_y  bebop1_vx  bebop1_vy  bebop1_yaw  bebop2_x  bebop2_y  bebop2_vx  bebop2_vy  bebop2_yaw  bebop3_x  bebop3_y  bebop3_vx  bebop3_vy  bebop3_yaw  bebop4_x  bebop4_y  bebop4_vx  bebop4_vy  bebop4_yaw  target_x  target_y  target_vx  target_vy  target_yaw 
1.44e-07  1.25959  -1.43538  0.0440733  -0.00143992  2.04549  -0.126724  -1.03002  0.00655094  -0.026983  0.368531  0.397065  0.161577  0.0409795  -0.0340788  -1.20258  1.43275  -0.344456  -0.0688884  -0.00994965  -2.54054  0.751057  -0.652514  -1.47573e-06  4.97406e-05  1.60046  
0.0500002  1.26129  -1.43539  0.0422608  -0.00165677  2.04303  -0.126301  -1.03132  0.006762  -0.0264539  0.366482  0.39762  0.161071  0.0374865  -0.0314541  -1.2034  1.43163  -0.34272  -0.0643475  -0.00662363  -2.54167  0.751045  -0.652481  -2.20036e-06  7.44101e-05  1.60036  
0.100018  1.26267  -1.43538  0.0403919  -0.0013241  2.04373  -0.126058  -1.03232  0.00606615  -0.0252743  0.36433  0.39794  0.160207  0.0347243  -0.0311326  -1.20208  1.43066  -0.340637  -0.0602878  -0.0017356  -2.54679  0.751077  -0.652494  -1.80385e-06  6.08416e-05  1.60044  
0.149968  1.26376  -1.43545  0.0393054  -0.00165282  2.04366  -0.125706  -1.03296  0.00683155  -0.0241622  0.362989  0.398112  0.159611  0.0320395  -0.0293982  -1.20124  1.42983  -0.33933  -0.0571703  -0.000163287  -2.54546  0.75106  -0.652524  -1.03906e-06  3.51778e-05  1.60033  
0.200015  1.26493  -1.43558  0.0371108  -0.00165064  2.04142  -0.125389  -1.03374  0.00630184  -0.0231798  0.367738  0.39795  0.158704  0.0285059  -0.0282408  -1.19753  1.42922  -0.337753  -0.0521768  0.00156481  -2.54417  0.751065  -0.652537  -6.85633e-07  2.31931e-05  1.60035  
0.249972  1.26609  -1.43562  0.0375557  -0.00148324  2.0451  -0.12471  -1.0342  0.00854961  -0.0221001  0.369456  0.397886  0.157641  0.026236  -0.0293038  -1.19281  1.42908  -0.336355  -0.0475254  0.00553924  -2.54317  0.751053  -0.652584  4.41356e-07  -1.49689e-05  1.60027  
0.300027  1.26699  -1.43584  0.0344402  -0.00209976  2.05222  -0.12417  -1.03429  0.00770552  -0.0193177  0.376232  0.397967  0.156746  0.0246245  -0.0271811  -1.1862  1.42869  -0.33512  -0.0449856  0.0059669  -2.54143  0.751081  -0.652578  2.97639e-07  -1.00724e-05  1.60034  
0.349976  1.26782  -1.43619  0.0330723  -0.00279278  2.06476  -0.1234  -1.03419  0.00899677  -0.0173481  0.378194  0.398161  0.155914  0.0230666  -0.0262014  -1.17815  1.42849  -0.334191  -0.0411702  0.00634719  -2.53811  0.751085  -0.652552  -3.11963e-07  1.05446e-05  1.60037  
0.399977  1.26797  -1.43689  0.0290006  -0.00437909  2.07384  -0.122725  -1.03364  0.00899604  -0.0141715  0.387654  0.398736  0.155013  0.0227749  -0.0257698  -1.16785  1.42841  -0.333887  -0.0374922  0.00509336  -2.53594  0.751069  -0.652591  6.1018e-07  -2.06825e-05  1.60029  
0.449973  1.26788  -1.43791  0.0264849  -0.00620863  2.08158  -0.121987  -1.03293  0.00978244  -0.0117648  0.398742  0.399447  0.154227  0.0221645  -0.0248111  -1.15883  1.42808  -0.333834  -0.0355221  0.00479954  -2.53455  0.751088  -0.652607  9.68416e-07  -3.27632e-05  1.60035  
0.500012  1.26791  -1.43911  0.0246888  -0.0070906  2.09244  -0.121026  -1.03197  0.0102906  -0.00935233  0.407552  0.400671  0.153704  0.0225936  -0.0225336  -1.14752  1.42812  -0.334139  -0.0317091  0.00342702  -2.53091  0.751037  -0.652631  1.47026e-06  -4.99442e-05  1.60023  
